Шарко О. П.,960
Турбіна Т. Ф.,960
Турлакова Наталія Василівна,960
Дубовик Р. Є.,959
Хлистуненко О. В.,957
Федорова О.В.,957
Кльопов І.Г.,957
Міщенко Т. М.,956
Смага С. В.,955
Бровченко І. О.,955
Куценко М. О.,953
Кухар С. В.,953
Вікторович Н. Ю.,953
Смирнов Г. С.,952
Карпенко Світлана Олексіївна,952
Юзіков Станіслав Георгійович,951
Гірняк Л. А.,951
С.О. Бондар,951
С.О. Удовіченко,951
Скалозуб Ю.О.,950
Улицький Василь Зіновійович,950
Соломко І.І.,950
Мартиць Оксана Іванівна,950
Алєксєєнко В. М.,949
Замега О. В.,949
Грегуль О. В.,948
Шавула В. С.,948
Олійник Алла Сергіївна,947
Безкровний І. Г.,947
Антонік Сергій Георгійович,947
Коваль Роман Йосипович,946
Щавинська Ю.М.,945
Куриленко О. М.,945
Бондаренко Г. В.,945
Дубровна В.А.,944
П'ятковський В. І.,944
Мельник В.І.,943
Харченко А. М.,943
Желясков О. О.,943
Мельник І. О.,943
Ніколаєнко І. В.,943
Аракелян М. М.,943
А.В. Сагун,943
Поляков О. З.,942
Драгомерецький М. М.,942
Капшук Л. О.,942
Сидоренко Ю. В.,942
Бучинський А. Б.,941
Корольова Г. Ю.,941
Терещенко О. Є.,941
Лабань Г.В.,941
Пліш Михайло Антонович,940
Лаврова Л.С.,938
Л.М. Опімах,938
Ореховська О.О.,937
Штих Т. В.,937
Яценко Є. І.,937
Приходько І.В.,936
Матущак В.В.,936
Петренко Ігор Васильович,936
Жукова О. Є.,934
Лічман Л.В.,934
Савуляк Р. В.,933
Ширіна С. А.,933
Андрухів В. В.,933
Мишкіна М.А.,931
Сушко О.О.,930
Бершадська О. В.,930
Грачов В.М.,930
Оксюта Т. Г.,930
Муранова-Лесів І. В.,929
Усатова І. А.,929
Саприкіна І.В.,928
Сидорук А.М.,928
Курко О. П.,928
Лозицька Ірина Олександрівна,927
Безрук Т.М.,927
Совгира Д. І.,927
Войтов Г. В.,927
Майстер П.М.,926
